景区名称,星级数
nan,nan
重庆大足石刻景区,5
重庆巫山小三峡—小小三峡,5
重庆武隆喀斯特旅游区（天生三桥·仙女山·芙蓉洞）,5
重庆酉阳桃花源景区,5
重庆万盛黑山谷景区,5
重庆南川金佛山景区,5
重庆江津四面山景区,5
重庆云阳龙缸景区,5
重庆彭水阿依河景区,5
重庆黔江濯水景区,5
重庆奉节白帝城·瞿塘峡景区,5
重庆涪陵武陵山大裂谷景区,5
重庆丰都名山风景区,4
重庆聂荣臻元帅陈列馆,4
重庆忠县石宝寨,4
重庆人民大礼堂及人民广场,4
重庆歌乐山森林公园,4
重庆缙云山景区,4
重庆北泉风景区,4
重庆歌乐山烈士陵园,4
重庆南山植物园,4
重庆乐和乐都景区,4
重庆红岩革命纪念馆,4
重庆丰都雪玉洞景区,4
重庆云阳张飞庙,4
重庆黔江小南海旅游景区,4
重庆湖广会馆,4
重庆磁器口古镇,4
重庆统景温泉风景区,4
重庆中国三峡博物馆,4
重庆洪崖洞民俗风貌区,4
重庆海兰云天温泉度假区,4
重庆动物园,4
重庆贝迪颐园温泉度假区,4
重庆科技馆,4
重庆观音桥商圈都市旅游区,4
重庆华岩旅游区,4
重庆龚滩景区,4
重庆加勒比海水世界景区,4
重庆石柱大风堡景区,4
重庆潼南杨闇公故里景区,4
重庆上邦NOMI温泉旅游区,4
重庆万州大瀑布群旅游区,4
重庆綦江古剑山风景区,4
重庆长寿湖旅游区,4
重庆开州刘伯承同志纪念馆,4
重庆巫溪红池坝景区,4
重庆酉阳龙潭古镇景区,4
重庆白鹤梁水下博物馆景区,4
重庆中国民主党派历史陈列馆景区,4
重庆永川茶山竹海旅游景区,4
重庆合川钓鱼城景区,4
重庆铁山坪森林公园,4
重庆北碚金刀峡景区,4
重庆长寿菩提古镇文化旅游区,4
重庆云阳三峡梯城景区,4
重庆园博园,4
重庆璧山观音塘湿地公园,4
重庆巫山神女景区（神女峰·神女溪）,4
重庆铜梁安居古城,4
重庆潼南大佛寺,4
重庆开州汉丰湖景区,4
重庆荣昌万灵古镇,4
重庆周君记火锅食品工业旅游体验园,4
重庆东温泉风景区,4
重庆合川涞滩古镇,4
重庆涪陵武陵山国家森林公园,4
重庆涪陵大木花谷·林下花园景区,4
重庆铜梁黄桷门奇彩梦园,4
重庆巴南中泰天心佛文化旅游区,4
重庆江津陈独秀旧居陈列馆,4
重庆城口亢谷景区,4
重庆彭水蚩尤九黎城景区,4
重庆石柱千野草场,4
重庆黔江城市大峡谷景区,4
重庆自然博物馆,4
重庆巴南丰盛古镇,4
重庆长寿菩提山文化旅游区,4
重庆梁平滑石古寨,4
重庆黔江土家十三寨,4
重庆南岸长嘉汇弹子石老街,4
重庆彭水摩围山景区,4
重庆融汇温泉小镇,4
重庆两江国际影视城,4
重庆市黔江神龟峡景区,4
重庆巫山文峰景区,4
重庆长江索道景区,4
重庆黔江爱莉丝庄园景区,4
重庆秀山西街民俗文化景区,4
重庆垫江牡丹樱花世界景区,4
重庆市彭水乌江画廊景区,4
重庆潼南双江古镇景区,4
重庆丰都南天湖景区,4
重庆保税体验旅游景区,4
重庆丰都九重天景区,4
重庆秀山凤凰山花灯民俗文化旅游区,4
重庆抗战遗址博物馆,4
重庆綦江国家地质公园老瀛山景区,4
重庆建川博物馆,4
重庆涪陵816工程景区,4
重庆梁平百里竹海观音洞,4
重庆鎏嘉码头景区,4
重庆际华园景区,4
重庆奉节龙桥河景区,4
重庆奉节夔州博物馆,4
重庆巫山博物馆,4
重庆黔江水车坪景区,4
重庆武隆白马山天尺情缘景区,4
重庆巴南羊鹿山景区,4
重庆欢乐谷景区,4
重庆石柱万寿山景区,4
重庆武隆龙水峡地缝,4
重庆垫江恺之峰旅游区,4
重庆铜梁玄天湖景区,4
重庆汉海海洋公园,4
重庆石笋山景区,4
重庆江津会龙庄景区,4
重庆三峡移民纪念馆,4
重庆忠县白公祠文博景区,4
重庆奉节三峡之巅景区,4
重庆黔江官村景区,4
重庆江津中山古镇,4
重庆开州龙头嘴森林公园,4
重庆万州三峡平湖旅游区,4
重庆市潼南区陈抟故里景区,4
重庆武隆芙蓉江,4
重庆石柱西沱古镇,4
景区,nan
重庆奉节县青龙镇大窝景区,4
重庆江津区聂荣臻故里景区,4
重庆璧山秀湖景区,4
重庆云阳歧山草原景区,4
重庆仙女山归原小镇,4
重庆石柱七曜山广寒宫景区,4
重庆城口土城红军老街景区,4
重庆巴南南温泉旅游风景区,4
重庆巴南融汇西流沱滨江旅游区,4
重庆开州博物馆,4
重庆秀山洪安边城旅游区,4
万州三峡古枫香园景区,4
重庆大鹅岭旅游景区,4
重庆市江北区鸿恩寺公园,4
重庆巴南天坪山云林天乡景区,4
大足香国公园,4
南川神龙峡景区,4
云阳环湖绿道旅游景区,4
重庆巫溪灵巫洞景区,4
重庆酉阳叠石花谷景区,4
重庆酉阳松鼠丛林乐园,4
万州凤凰花果山景区,4
重庆工业文化博览园,4
大足区棠香人家景区,4
双桂湖国家湿地公园,4
重庆酉阳花田梯田景区,4
忠县三峡橘乡田园综合体,4
重庆巫山·三峡之光旅游景区,4
巫山天路下庄景区,4
垫江三合湖湿地公园,4
万盛老街,4
石柱太阳湖景区,4
重庆开州童话森林王国,4
酉阳酉水河湾景区,4
重庆市规划展览馆,4
重庆天赐温泉生态旅游景区,3
重庆市鳄鱼中心,3
重庆海石公园,3
重庆渝北龙兴古镇景区,3
重庆巴南云篆山,3
重庆梁平双桂堂,3
重庆永川桃花源旅游度假区,3
重庆华生园金色蛋糕梦幻王国,3
重庆沙坪坝抗战名人旧居（郭沫若·张治中·冯玉祥）,3
重庆大渡口南海温泉中心,3
重庆石柱毕兹卡绿宫景区,3
重庆石柱秘境黄水乐园景区,3
重庆南川黎香湖湿地生态园,3
重庆南滨路景区,3
重庆綦江博物馆,3
重庆南川生态大观园,3
重庆北碚静观花木生态旅游区,3
重庆渝北印盒李花生态旅游区,3
重庆宝林博物馆,3
重庆合川文峰街,3
重庆永川松溉古镇,3
重庆荣昌安陶博物馆,3
重庆渝中嘉西村—怡园景区,3
重庆綦江高庙坝生态旅游区,3
重庆江津石门大佛景区,3
重庆江津塘河古镇,3
重庆高新区虎峰山景区,3
重庆高新区九凤山景区,3
重庆万州西游洞,3
重庆铜梁博物馆,3
重庆大足海棠香国历史文化风情城,3
重庆铜梁桂花博览园,3
重庆映像金阳历史风貌区,3
重庆秀山大溪酉水风景区,3
重庆万州同鑫蔬菜大观园,3
重庆奉节鑫鼎农业生态观光园,3
重庆万州石桥水乡湿地公园,3
重庆渝北放牛坪景区,3
重庆开州盛山植物园,3
重庆北碚西山坪苓茏苑,3
荷和原乡,3
重庆合川友缘山庄,3
重庆药用植物园,3
重庆万盛金蝶湖文化公园景区,3
重庆市亚源生态农业观光园,3
重庆石柱万寿古寨景区,3
重庆万州奇芳花谷景区,3
重庆涪陵•古今花海景区,3
重庆美心红酒小镇景区,3
重庆荣昌夏布小镇景区,3
重庆中华·梁平柚海,3
重庆万盛科技馆,3
重庆巫溪观峰村景区,3
重庆巫溪红池云乡旅游区,3
重庆垫江李花源景区,3
重庆奉节茅草坝滑雪场景区,3
重庆彭水周家寨旅游区,3
重庆彭水罗家坨苗寨景区,3
重庆彭水泉水渔都景区,3
重庆江津骆騋山景区,3
重庆垫江仙草园中医文化旅游区,3
重庆城口乡土岚天景区,3
重庆万州七星谷景区,3
重庆江津科技馆,3
重庆永川博物馆,3
重庆璧山东岳体育公园景区,3
重庆梁平川西渔村景区,3
重庆忠县灌湖水乡景区,3
重庆云阳三峡农耕园,3
重庆大足大有田园景区,3
重庆开州长生汖奇迹乐园,3
重庆绿色星球科普乐园景区,3
重庆市九龙坡区中共四川省临委会扩大会议会址（周贡植故居）,3
大足雍溪里景区,3
重庆丰都小官山古民居旅游景区,3
重庆彭水阿依林海景区,3
重庆梁平百里竹海·猎神景区,3
开州开心之洲游乐城,3
万盛经开区博物馆,3
万州大唐荔园,3
重庆荣昌唯美陶瓷博览中心,3
丰都石里红枫景区,3
巫溪耕歌龙池景区,3
巫溪县一线天景区,3
巫溪兰英天路景区,3
重庆大韩民国临时政府旧址陈列馆,2
重庆市南岸岚苑景区,2
重庆宋庆龄纪念馆,2
重庆巫溪荆竹峡-汉风神谷景区,2
重庆竹林公园,2
重庆万县“九五”惨案纪念馆,2
重庆涪陵沙溪温泉,2
重庆綦江石壕红军烈士墓,2
重庆璧山露德堂景区,2
重庆酉阳南腰界红色旅游经典景区,2
重庆酉阳石泉古苗寨,2
重庆酉阳毛坝乡群贤居避暑山庄,2
重庆铜梁邱少云烈士纪念馆,2
重庆大足五金博物馆,2
重庆奉节西部新区滨河公园,2
重庆丰都江池横梁景区,2
重庆涪陵李蔚如故里,2
重庆开州天心桥景区,2
重庆涪陵巴山夜雨休闲旅游区,2
重庆开州温泉仙女洞,2
重庆璧山三担湖公园,2
重庆铜梁西部农林大世界,2
重庆奉节夔门欢乐谷,2
重庆奉节县空谷度假村,2
重庆奉节县铭阳农庄,2
重庆云阳县香盟·花千谷景区,2
重庆云阳县枣康源景区,2
重庆云阳县锣鼓宕风景区,2
涪陵四川红军第二路游击队烈士陵园,2
重庆云阳绿岛景区,2
重庆云阳映山红公园,2
重庆云阳龙缸滑雪场,2
重庆云阳三峡阳菊生态园,2
重庆云阳石佛山生态农业园,2
重庆涪陵方坪茶舍,2
重庆云阳蔈草镇党群教育实践基地,2
重庆云阳栖霞油菜花景区,2
重庆云阳青云寨景区,2
重庆云阳彭咏梧纪念馆,2
重庆巫溪县博物馆,2
重庆巫溪古路镇青龙洞景区,2
重庆巫溪上磺镇巫甸园景区,2
重庆巫溪胜利乡洪仙岩景区,2
重庆市广益中学校园景区,1
