景点,日期,用户评论
古窑民俗博览区,2024-07-10IP属地：天津,景德镇古窑民俗博览区是一片很大的区域，整体像一座大花园，里边有不同的区域，有一部分民宅是从其他地区整体迁移过来的，还有一部分可以烧窑制作，现场可以diy尝试，并且在景区内有各种形制的窑的介绍和实体窑口，可以丰富很多关于关于瓷器制作的知识，也有商品售卖，在水的亭子了，固定时间还有瓷器制作的乐器音乐表演，很有意思。
古窑民俗博览区,2024-07-06IP属地：江西,国内唯一的一个以陶瓷为主题的5A景区，了解瓷器烧制的过程，另外各种窑型，完整的过程都可以看到，还有国家级文物。整个景区徽派建筑为主，园林一般的景色，适合休闲游。带着孩子学学历史，很不错。
古窑民俗博览区,2024-06-26IP属地：四川,非常值得去的一地，可以了解到陶瓷的生产过程，知识性更强，尤其是带孩子去了解陶瓷的72道工序，非常值得实践！对于热爱陶瓷艺术的人，也是一个很好的了解窗口！
古窑民俗博览区,2024-05-03IP属地：江西,古窑、古作坊、古工艺、古窑房、古园林、瓷乐队，体验区，互动区，不同年龄层次都可以找到快乐，天青色慵懒的午后，慢下来的青浅时光…….
古窑民俗博览区,2024-07-21IP属地：四川,很大一个园区，修得也挺漂亮，处处可见瓷文化元素。除了原装镇窑，还有仿建的狮子窑、葫芦窑、馒头窑、龙窑，很直观的就明白了它们的名字由来和区别。园内的作坊是手工艺人工作台+店铺的设计，可以观看他们工作。被刘松林老师的龙船吸引，和他聊了很久的天，解开了前几天参观陶瓷博物馆时的一些困惑。拉坯的作坊可以花三十元体验，师傅会手把手教你，看上去很丝滑解压的工序，原来差之毫厘便会前功尽弃。一道工序尚如此，要制作完成一件精品，在过去，不知要耗费多少时间和心血。来景德镇几天忍了几次没买的瓷器，终于也在这里买了。因为在这里能看到制作这件瓷器的人。器物之美，在人不在物，瓷器的温润细腻，典雅柔丽，最终，还是人赋予的。
古窑民俗博览区,2024-06-25IP属地：江西,雨天人不多，感受景德镇瓷都的魅力，各个朝代的发展历史，结合景德镇博物馆一起看，更震撼。建议2个景点可以一天看，离得不远，打车不到十块钱。
古窑民俗博览区,2024-07-17IP属地：江西,环境不错，园区也很大，工作日去的人很少，工作人员热。有问必答，标识牌也很清楚，里边有各种各样的陶瓷窑，是了解景德镇陶瓷历史很好的地方。
古窑民俗博览区,2024-07-17IP属地：江西,环境不错，园区也很大，工作日去的人很少，工作人员热。有问必答，标识牌也很清楚，里边有各种各样的陶瓷窑，是了解景德镇陶瓷历史很好的地方。
古窑民俗博览区,2024-07-11IP属地：浙江,值得一去，名不虚传。让孩子体验了传统文化的魅力，孩子也学到了不少有关瓷器的知识。很多以前没看到过的东西，有很多类型的古窑
古窑民俗博览区,2024-06-23IP属地：江西,非常值得去的一个博物馆，非遗传承人现场演绎古窑烧陶瓷步骤，带小孩去体验现场更好！可以了解一个磁器从土到成品的72道工序。
古窑民俗博览区,2024-03-27IP属地：江西,雨天前往，游客不多，瓷器文化气息扑面而来，从采石，制作各个环节到销售，商会等等，介绍得很详细，各种年代的古窑复原很逼真，可惜的是快到闭馆时间，咖啡没有喝成
古窑民俗博览区,2024-07-22IP属地：江苏,里面有艺人在实际制作 非常有代入感。里面的东西很贵，但是确实物有所值。
古窑民俗博览区,2024-07-22IP属地：江苏,里面的窑有好几种，进去看了，非常有感觉，里面还有卖，非常好的地方。
古窑民俗博览区,2024-06-20IP属地：江西,景色宜人，就是卖货的太多了
古窑民俗博览区,2024-03-11IP属地：北京,体验不错，值得一去，能真实的看到制瓷的整个过程，各种古窑，景区环境很好，拍照打卡很漂亮。建议请个讲解能更详细的了解瓷器文化。讲解建议改为耳机模式
古窑民俗博览区,2024-04-23IP属地：上海,AAAAA级景区环境优美，有山有水，有亭台楼阁，园子挺大的，访窑古道，亭台楼阁，四合大院，门口有仿12首的喷水潭，需要半天的时间才能全部逛完。
古窑民俗博览区,2024-03-11IP属地：北京,景区环境不错，拍照很漂亮，以实物展示了书中的制瓷过程，展现各种古窑。建议请讲解能了解的更多，但扩音式讲解体验感不好，总是跟随并围着很多蹭听的。
古窑民俗博览区,2024-03-20IP属地：江西,很大的一个以陶瓷文化为主题的公园，有园林景致，也有陶瓷文化展示，还有陶瓷制品的销售（绝对不强制，很佛系），还有陶瓷文化的体验！蛮好的，票价95略贵吧，消费能力不同，见仁见智。
古窑民俗博览区,2024-03-24IP属地：天津,景区还可以，有室内室外的，主要还是室外的各种窑，长知识了还有体验项目，天气好的情况下，可以出来转转，确实景色不错，票价小贵，哈哈！！
古窑民俗博览区,2024-01-27IP属地：江西,宠物友好！工作人员都非常nice！ 景区将瓷器制作过程及工艺完整清晰的展示给游客，非常具有科普意义。淡季人不多，值得静下心慢慢逛。
古窑民俗博览区,2024-01-27IP属地：江苏,很不错的，古色古香的民俗博览区，人不多，体验感非常好，可以了解瓷器的制作过程，感受到古代劳动人民的智慧结晶，工作人员有礼貌。
古窑民俗博览区,2024-07-09IP属地：江苏,很值得一去，赞一个👍……能够看到瓷器的成型过程，很是美妙，带小朋友去就更好了。传统与文化的结合、沉淀、传承、值得走一趟。
古窑民俗博览区,2024-03-24IP属地：江苏,从宏村到婺源一路来到景德镇，多少年的愿望终于有时间得以实现，本来计划里没有这个景点，临时改的计划，总体来说符合预期，无论是历史遗物还是手艺传承，都现场目睹，比那些网红打卡地更有内涵，不错👍。但也有不足，车刚停下，保安就突然出现在车旁，手里握着零钞和小票，原来是收停车费的，说实话，5元钱确实非常便宜了，但这种感觉不太好，多少年没见过这种收费方式了；还有网上购的票还要到售票处换票，不仅仅麻烦，也不合时宜，关键那两位美女售票员态度实在冷淡，一位年龄很大的检票员在那玩手机，怎么也不能把这些跟一个5A景区联系起来，大老远跑过来旅游，总想获得一种宾至如归的快乐，确实很难，理想很丰满，现实很骨感。
古窑民俗博览区,2024-07-16IP属地：江西,位于山谷之中，空气好，比较凉爽，每个窑洞都各具特色，可以详细了解瓷器制作工序
古窑民俗博览区,2024-07-10IP属地：江西,环境很好，不过夏天去游玩的话，太热了
古窑民俗博览区,2024-07-13IP属地：浙江,景区不大，但区域很多，了解瓷文化，还看了点火仪式，推荐带孩子一起玩
古窑民俗博览区,2024-03-16IP属地：江西,就在市区，交通挺方便。打车或者公交都很方便。从瓷都大道步行进来也很方便。 挺有文化气息，各种体验活动也很多。非旺季，所以没有摩肩接踵的感觉。整体还不错。 很多非遗技艺的展示也很有意思。
古窑民俗博览区,2024-02-03IP属地：上海,园区很大，可以逛很久，御窑博物馆很美，里面精品很多，更多的是修复的陶瓷。如果开放的餐饮多一点就更好了。有不少手作的摊位，有兴趣的可以试试。
古窑民俗博览区,2024-05-12IP属地：上海,这个景区能看到各种类型的古窑，趣味性挺强的，同时也很涨知识。陶瓷商品价格有点贵 值不值不好说。里面还有陶瓷的拉胚体验，时间有点赶没来得及。
古窑民俗博览区,2024-03-19IP属地：四川,景区停车场有点难找，跟导航被带到了出口，此地保留了多种窑的样本，可以在此参观学习烧制技艺，不错。
古窑民俗博览区,2024-06-08IP属地：江西,饭店味道很好，服务很优秀，环境也不错。 服务员小姐姐漂亮又敬业的
古窑民俗博览区,2024-05-08IP属地：吉林,到景德镇必去的一个景区，有历史文化的展览，有现代工匠技艺传承的展示，还有性价比很高的景德镇瓷器卖场。可以了解千年以来中国瓷器制造的发展脉络。会给人留下深刻的印象。
古窑民俗博览区,2024-02-11IP属地：河北,一定要来这个地方，感觉非常的放松在这里面，然后阳光很好，很安静，景色也很柔和，但是唯一一点就是这个雪糕真的很难吃哈哈哈哈哈
古窑民俗博览区,2024-02-01IP属地：湖南,景区蛮好玩的，里面有整个陶瓷制作过程，有讲解员介绍陶瓷每个制作过程，那天还看了开窑点火仪式，有表演，还买了一个景德镇瓷器。
古窑民俗博览区,2024-01-14IP属地：北京,古窑民俗博览区非常值得参观，在那里可以一览各种古窑的，有些窑至今还在服务。博览区环境优美，各种配套齐全，绝对适合休闲度假。
古窑民俗博览区,2024-07-23IP属地：福建,有时间就去看看吧，最好能请到讲解，要不然就是自己提前做好攻略，园区太大了，走到腿软。这里的游客比起国瓷和御窑相对少一些。
古窑民俗博览区,2024-07-09IP属地：江苏,去肯定是值得去的，但门票收费稍微贵了点。
古窑民俗博览区,2024-06-08IP属地：浙江,很长知识，表演很怡人
古窑民俗博览区,2024-06-05IP属地：天津,挺好的，学到很多东西
古窑民俗博览区,2024-06-07IP属地：新疆,景区很大，值得去
古窑民俗博览区,2024-06-24IP属地：江西,带孩子体验陶瓷，家庭亲子玩很适合
古窑民俗博览区,2024-05-18IP属地：江苏,去景德镇必去场所，整体感觉不错！
古窑民俗博览区,2024-07-19IP属地：广东,特色明显．很有意义，值得一看
古窑民俗博览区,2024-07-23IP属地：江西,还行，看看就知道窑长啥样。
古窑民俗博览区,2024-07-18IP属地：浙江,一般吧 景区没什么工作人员 没有引导 游客只能自己去游览 公园挺大 有很多陶瓷制作的工作人员在制作陶器 推荐指数四星吧
古窑民俗博览区,2024-06-11IP属地：江西,非常适合老人孩子一家人出行
古窑民俗博览区,2024-06-10IP属地：上海,还不错哦还不错孩子很喜欢
古窑民俗博览区,2024-05-02IP属地：江西,“北看故宫，南访古窑”
古窑民俗博览区,2024-06-12IP属地：上海,非物质文化遗产，陶瓷
古窑民俗博览区,2024-07-23IP属地：浙江,值得一去，风景宜人
古窑民俗博览区,2024-07-23IP属地：福建,值得游玩，五星好评
古窑民俗博览区,2024-07-12IP属地：江苏,景德镇必须玩的地方
古窑民俗博览区,2024-06-08IP属地：湖北,总体来说，体验不错
古窑民俗博览区,2024-07-23IP属地：江西,有时间可以去看看
古窑民俗博览区,2024-07-12IP属地：江西,很有学问的讲解师
古窑民俗博览区,2024-03-11IP属地：北京,景区不错，环境很好，拍照漂亮，真实现在制作瓷器的各个环节
古窑民俗博览区,2024-07-22IP属地：安徽,非常值得一去！
古窑民俗博览区,2024-07-12IP属地：江苏,值得推荐的地方
古窑民俗博览区,2024-07-12IP属地：江苏,值得推荐的地方
古窑民俗博览区,2024-07-11IP属地：福建,拍照一绝的地儿
古窑民俗博览区,2024-06-23IP属地：上海,雨大 看得比较急
古窑民俗博览区,2024-06-23IP属地：江西,有历史可以了解
古窑民俗博览区,2024-05-25IP属地：山西,在景区窑内作坊，老艺术家或是刻，或是绘，或是掐丝，或是镂空，长年专注的手工，累积出职业病，令人看到了时光的凝聚，一股热流不禁涌上眼眶。
古窑民俗博览区,2024-07-13IP属地：上海,挺好的，整体的装修和绿化很不错，走走看看，一上午结束
古窑民俗博览区,2024-07-20IP属地：湖北,很好很值得
古窑民俗博览区,2024-07-20IP属地：湖北,很好很值得
古窑民俗博览区,2024-07-12IP属地：江西,非常满意喔
古窑民俗博览区,2024-07-12IP属地：江西,非常满意喔
古窑民俗博览区,2024-07-12IP属地：江西,非常满意喔
古窑民俗博览区,2024-07-05IP属地：江西,还可以吧。
古窑民俗博览区,2024-06-11IP属地：浙江,体验可以的
古窑民俗博览区,2024-06-11IP属地：浙江,可以的，，
古窑民俗博览区,2024-06-09IP属地：江西,感觉还不错
古窑民俗博览区,2024-03-03IP属地：安徽,景区还不错，有一定的文化价值特别是陶瓷烧窑文化，有兴趣的可以过去转转看看，里面还有导游讲解，可以了解的更清楚一点，不然就是转转！
古窑民俗博览区,2024-07-25IP属地：江苏,一般吧，没啥看的，可看的东西少，有趣的也少，带小朋友的话不建议来，去陶瓷博物馆比这个好。中间会有瓷器表演，这个还能看一看。
古窑民俗博览区,2024-05-18IP属地：江西,比较棒环境，景区卫生也很可以，哈哈哈，不过玩着开心舒服比什么都重要，下次还会在过来旅行的，这次是带着家人，下次自己旅行✌️
古窑民俗博览区,2024-04-29IP属地：浙江,不用换票直接身份证进入！方便性价比高！比现场买票便宜！还能使用礼品卡购买！享受折上折，强烈推荐！！！！！！！！！！！！！！
古窑民俗博览区,2024-03-31IP属地：江西,里面就是四五个古窑 元代 民国 明清。 有表演形式的一个制作流程可以看 但我去时候是一两点，很多都在睡觉。 票价太高，性价比有点低。
古窑民俗博览区,2024-02-26IP属地：江苏,就是一个公园，不知道为什么排景点第一名，进去之后可以看到复原的以前的做到各种形状的窑，公园的另一测基本上就是风景，还有整体搬迁过去的古代的建筑，有一些区域刚刚刷了油漆所以味道特别大。最后还有一些莫名其妙的宣传什么公公婆婆之类的，有一点迷信色彩在里面建议不出现在景区
古窑民俗博览区,2024-03-28IP属地：青海,很好，很好的诠释了窑炉工艺，值得一去
古窑民俗博览区,2024-07-15IP属地：江苏,这个景区民俗馆和陶瓷馆都不错，但是缺乏陶瓷的制作流程的体验。
古窑民俗博览区,2024-03-15IP属地：江西,风景优美，可以看到各式各样的古代磁窑，是一次独具风格的游览！
古窑民俗博览区,2024-05-25IP属地：江西,很大，园林风格。
古窑民俗博览区,2024-02-16IP属地：湖北,陪家庭一起旅游的，到达地点后还要排队换取纸质版门票才给进去，这点给差评，在12345上投诉了，希望景点能够有所改善，给人非常不好的体验。
古窑民俗博览区,2024-05-04IP属地：湖北,不错的体验！
古窑民俗博览区,2024-05-09IP属地：广东,总得来说值得一去，最有趣的是可以看看陶瓷制作的过程。但是如果不请讲解的话，师傅们不会给你表演，就完全没意思了，只能去蹭别人的讲解。门票还是过于贵了，商业化太厉害。
古窑民俗博览区,2024-03-27IP属地：江西,故居很美 真切感受到了精美瓷器行程过程 很生动
古窑民俗博览区,2024-03-13IP属地：江西,景德镇陶瓷有名，到了景德镇我们就直奔到了景德镇民俗古窑博览区去了解陶瓷发展的历史和制作工序。 进入陶瓷制作工艺区，映入眼帘的是一排排晒胚中的半成品。景德镇陶瓷分七十二道工序，重点的有九步，分别是练泥、拉胚、印胚、利胚、晒胚、刻花、施釉、烧窑、彩绘。 又可按照绘画形式不同，被分为青花、粉彩、古彩、新彩、颜色釉、塑雕六大类。 景德镇瓷壶青花瓷是大家最为熟悉的，也是中国瓷器的主流品种之一。
古窑民俗博览区,2024-04-18IP属地：北京,这个地方很不错的，能全面了解瓷文化，还有作坊各种展示，现场看手艺人工作，好评。
古窑民俗博览区,2024-07-04IP属地：江西,还行，就是天气太热了，大部分都没空调
古窑民俗博览区,2024-05-04IP属地：江西,很好，近距离了解陶瓷的历史文化和生产过程，还有很多衍生内容，体验感拉满。
古窑民俗博览区,2024-07-02IP属地：福建,景区一只大狗到处转，吓死人。
古窑民俗博览区,2024-05-22IP属地：四川,古窑还是不错的，景区风景好，交通标示牌指示清楚，一天里还有几场瓷乐。
古窑民俗博览区,2024-04-24IP属地：河南,里面可以看到一件瓷器完整的制作工艺，还有好多瓷器大师的作品可以买到。
古窑民俗博览区,2024-05-02IP属地：江西,价格实惠，环境不错，距离古窑景区很近，带小孩子出来旅游，值得推荐。
古窑民俗博览区,2024-05-03IP属地：安徽,作为5A级景区，地方很大，值得一去，陶器物价也不高，各种档次都有
古窑民俗博览区,2024-06-20IP属地：湖南,我在景区买了一个袁老师杯子，200元，当时付款时我特意问清是收款员，邮寄是免费的吗？她说是免费的，但今天我收到货竟然是到付，22元邮费，被骗了
古窑民俗博览区,2024-06-15IP属地：江苏,历史底蕴深厚，值得一看
古窑民俗博览区,2023-08-22IP属地：浙江,5A级景区，这里是景德镇唯一一处需要收费的类似博物馆的景区，去景德镇只知道瓷器很美，只有去这里才能让孩子大体了解瓷器的美是通过哪些工艺呈现出来的，是一个非常有教学意义的地方，亲子出游非常推荐。商业化的体验凭自己感受选择，能有一件自己亲手制作的陶瓷工艺也是不错的，值得自己珍藏！
古窑民俗博览区,2024-05-19IP属地：江西,还可以，景区值得去
古窑民俗博览区,2024-05-16IP属地：河南,很不错 值得一看 当时带着外宾朋友 外宾朋友也是很满意 不错的体验
古窑民俗博览区,2024-07-12IP属地：江西,也没什么好逛。
古窑民俗博览区,2024-06-10IP属地：福建,不值得，都是新建的，打车都打不到，还是趁旅游大巴的车，问志愿者有什么公共交通，叫我自己搜
古窑民俗博览区,2024-05-13IP属地：江苏,体验很好，有景色也有文化，5a景区实至名归
古窑民俗博览区,2024-02-19IP属地：北京,了接待旅行团而设计的，全世界各地的旅游胜地都有这种文化展示中心，特点是景区面积大，远离市中心，沉浸式的文化历史还原，价格都较高，景色不错，内容嘛……看个人兴趣点吧。 这边的门票是95一张，别看票价贵，应该是景德镇最高吧？配套系统也真是不咋地。在平台上购票还需要再排大队二次换票是其一，符合免票标准的老人和儿童要再排另外的队伍做免票登记，像我们这种高于120的儿童，需要买半价票，必须再排队买🌚说是系统有问题，“不行您买全价票也是可以的” 好么，这么一算我们加四个人把三种队伍都排遍了！真是给园区管理者点个大赞！ 对了，我妈换了免票还被问你为什么是免票？看上去没有那么大年纪……这是打自己工作同事验票不利的脸呢？行了我就当你觉得我妈保养不错吧！我真的栓 Q～
古窑民俗博览区,2023-12-07IP属地：上海,真的非常喜欢景德镇，没来之前以为是个小镇子，结果是个很有钱的城市！配上江西的红土，第三次来江西了，坐了蛮久的车。瓷器好漂亮啊！还能学到好多瓷器知识，山也很漂亮！空气很清新。还有青花瓷的演出！好听极了！
古窑民俗博览区,2024-05-12IP属地：江西,可近距离接触景德镇陶瓷文化、非常好。
古窑民俗博览区,2024-05-12IP属地：江西,可近距离接触景德镇陶瓷文化、非常好。
古窑民俗博览区,2024-06-20IP属地：山东,景区开发不够，服务意识不够！对不起这85元门票。 唯一的互动就是买卖陶瓷品。
古窑民俗博览区,2024-06-05IP属地：陕西,房间跟干净，早餐也不错，性价比高！
古窑民俗博览区,2024-05-03IP属地：浙江,还是很不错的，可以了解相关的知识。
古窑民俗博览区,2024-06-02IP属地：江西,我感觉比较好
古窑民俗博览区,2024-05-26IP属地：湖北,你是我喜欢的人，我就愿意俯首称臣
古窑民俗博览区,2024-04-07IP属地：广东,值得玩，推荐晚上去，打铁花好震撼
古窑民俗博览区,2024-04-03IP属地：江西,第二次去了，还买了老艺人手绘的瓷器，挺有意思的，就是一直下雨，走走停停。
古窑民俗博览区,2024-05-07IP属地：广东,挺大的，很多手工区，适合带娃娃
古窑民俗博览区,2024-05-12IP属地：江西,景区大，内容丰富，值得一游。
古窑民俗博览区,2024-05-12IP属地：江西,景区大，内容丰富，值得一游。
古窑民俗博览区,2024-04-08IP属地：安徽,带孩子了解陶瓷文化必打卡之地
古窑民俗博览区,2024-03-13IP属地：江西,景德镇陶瓷有名，到了景德镇我们就直奔到了景德镇民俗古窑博览区去了解陶瓷发展的历史和制作工序。瓷壶青花瓷是大家最为熟悉的，也是中国瓷器的主流品种之一。
古窑民俗博览区,2023-07-16IP属地：福建,古窑民俗博览区很值得一游，尤其是大师们的现场技艺展示，生动形象，而且他们还向游客们讲解制作过程等等。明清古窑尤其值得参观，清园和明闾也很值得参观哦。
古窑民俗博览区,2024-05-23IP属地：福建,生活会对你的善意，买一赠一
古窑民俗博览区,2024-05-19IP属地：江西,可以在景区内看到非物质文化遗产继承人生产瓷器简单工艺流程，这个比较有趣，很多工艺看着其实需要几十年的经验。
古窑民俗博览区,2024-04-19IP属地：浙江,建议一定要去看看不错很艺术
古窑民俗博览区,2024-05-23IP属地：福建,喜见你眉秀似山，眼拥星霜
古窑民俗博览区,2024-05-13IP属地：安徽,挺不错的，跟公园差不多。
古窑民俗博览区,2024-05-03IP属地：浙江,很不错，知识趣味性很强。
古窑民俗博览区,2024-05-13IP属地：江苏,有景交车，带老人很方便
古窑民俗博览区,2024-06-04IP属地：上海,感觉一般，性价比不高
古窑民俗博览区,2024-04-12IP属地：浙江,环境优美，有文化底蕴
